id,compartments,species,reactions,parameters,events,rules,function_definitions,time,bytes,gctime,gcstats,filesize
BIOMD0000000793,1,2,5,4,0,0,0,0.01432669,660041,0.0,"Base.GC_Diff(660041, 1, 0, 10697, 10, 0, 0, 0, 0)",34129
MODEL1611030000,1,5,8,5,0,0,0,0.014337809,797120,0.0,"Base.GC_Diff(797120, 1, 0, 19361, 18, 0, 0, 0, 0)",34044
BIOMD0000000751,1,2,3,6,0,1,0,0.014056994,609326,0.0,"Base.GC_Diff(609326, 1, 0, 9703, 11, 0, 0, 0, 0)",33460
MODEL1409240001,1,7,0,17,1,7,0,0.014831812,379544,0.0,"Base.GC_Diff(379544, 0, 0, 9896, 10, 0, 0, 0, 0)",33276
MODEL1006230027,1,0,0,63,0,32,0,0.023507028,440456,0.0,"Base.GC_Diff(440456, 1, 0, 10381, 11, 0, 0, 0, 0)",33259
MODEL0912044015,1,0,0,84,0,35,0,0.051313581,871896,0.0,"Base.GC_Diff(871896, 3, 0, 31226, 12, 0, 0, 0, 0)",33115
BIOMD0000000624,1,7,5,9,0,0,0,0.015222006,89616,0.0,"Base.GC_Diff(89616, 0, 0, 1637, 3, 0, 0, 0, 0)",32675
MODEL1409230001,1,9,4,7,0,0,0,0.014156183,464936,0.0,"Base.GC_Diff(464936, 1, 0, 15924, 8, 0, 0, 0, 0)",31977
BIOMD0000000758,1,2,4,4,0,0,0,0.013490402,70720,0.0,"Base.GC_Diff(70720, 0, 0, 1008, 3, 0, 0, 0, 0)",31793
MODEL1710260004,1,8,13,13,1,0,0,0.015066578,124280,0.0,"Base.GC_Diff(124280, 0, 0, 2342, 4, 0, 0, 0, 0)",31687
MODEL1710260000,1,12,9,9,1,0,0,0.014467218,698768,0.0,"Base.GC_Diff(698768, 2, 0, 18016, 14, 0, 0, 0, 0)",31149
MODEL1006230096,1,0,0,68,0,26,0,0.024160868,1571696,0.0,"Base.GC_Diff(1571696, 6, 0, 45426, 18, 0, 0, 0, 0)",31011
MODEL1006230059,1,0,0,68,0,26,0,0.022588123,508248,0.0,"Base.GC_Diff(508248, 1, 0, 15983, 14, 0, 0, 0, 0)",31003
MODEL1006230095,1,0,0,68,0,26,0,0.022468364,328560,0.0,"Base.GC_Diff(328560, 1, 0, 8398, 8, 0, 0, 0, 0)",30990
MODEL1006230068,1,0,0,68,0,26,0,0.023281052,376816,0.0,"Base.GC_Diff(376816, 2, 0, 9018, 9, 0, 0, 0, 0)",30987
MODEL1006230016,1,0,0,68,0,26,0,0.022420995,816791,0.0,"Base.GC_Diff(816791, 1, 0, 18747, 12, 0, 0, 0, 0)",30882
MODEL1006230010,1,0,0,68,0,26,0,0.022609243,301176,0.0,"Base.GC_Diff(301176, 1, 0, 8160, 9, 0, 0, 0, 0)",30881
MODEL1006230105,1,0,0,64,0,21,0,0.02274564,488552,0.0,"Base.GC_Diff(488552, 1, 0, 12803, 14, 0, 0, 0, 0)",30602
MODEL1006230072,1,0,0,37,0,24,0,0.02081442,721096,0.0,"Base.GC_Diff(721096, 1, 0, 27658, 8, 0, 0, 0, 0)",30287
MODEL1705170004,1,19,25,25,0,0,0,0.016562015,1119265,0.0,"Base.GC_Diff(1119265, 0, 0, 16686, 13, 0, 0, 0, 0)",30145
MODEL1006230029,1,0,0,63,0,22,0,0.021878913,432968,0.0,"Base.GC_Diff(432968, 1, 0, 9242, 10, 0, 0, 0, 0)",30137
MODEL1708310001,1,1,0,17,0,6,0,0.012678875,323528,0.0,"Base.GC_Diff(323528, 0, 0, 7013, 9, 0, 0, 0, 0)",30034
MODEL6963432821,1,0,0,45,0,26,0,0.037672881,1168008,0.0,"Base.GC_Diff(1168008, 2, 0, 36122, 20, 0, 0, 0, 0)",29992
BIOMD0000000145,2,7,11,32,0,10,0,0.019812155,283752,0.0,"Base.GC_Diff(283752, 0, 0, 5573, 9, 0, 0, 0, 0)",29952
MODEL1609100001,1,7,7,7,0,0,0,0.013562602,384120,0.0,"Base.GC_Diff(384120, 1, 0, 9760, 9, 0, 0, 0, 0)",29914
MODEL0911120000,3,9,18,45,4,12,0,0.045612298,2431832,0.0,"Base.GC_Diff(2431832, 5, 0, 63954, 29, 0, 0, 0, 0)",29715
BIOMD0000000671,1,7,0,14,0,7,0,0.011821448,323584,0.0,"Base.GC_Diff(323584, 0, 0, 6671, 9, 0, 0, 0, 0)",28342
BIOMD0000000650,1,3,0,13,2,3,0,0.740580318,38804598,0.0,"Base.GC_Diff(38804598, 5, 0, 588522, 608, 0, 0, 0, 0)",27694
MODEL0912160000,1,0,0,57,0,33,0,0.052829116,1748030,0.0,"Base.GC_Diff(1748030, 1, 0, 33913, 25, 0, 0, 0, 0)",27675
MODEL1006230044,1,0,0,65,0,10,0,0.036583357,2699794,0.0,"Base.GC_Diff(2699794, 1, 0, 45033, 36, 0, 0, 0, 0)",27542
BIOMD0000000121,1,6,5,19,2,10,0,0.110740585,10514201,0.0,"Base.GC_Diff(10514201, 4, 0, 169290, 178, 0, 0, 0, 0)",27315
BIOMD0000000099,2,7,14,14,0,0,0,0.036794584,4250230,0.0,"Base.GC_Diff(4250230, 3, 0, 82267, 36, 0, 0, 0, 0)",27009
BIOMD0000000860,1,4,5,5,1,0,0,0.068596464,5322861,0.0,"Base.GC_Diff(5322861, 0, 0, 80658, 73, 0, 0, 0, 0)",26887
MODEL1006230045,1,0,0,36,0,16,0,0.030234445,1621058,0.0,"Base.GC_Diff(1621058, 3, 0, 45194, 30, 0, 0, 0, 0)",26747
MODEL7907879432,1,0,0,56,0,27,0,0.041901046,2582784,0.0,"Base.GC_Diff(2582784, 2, 0, 44083, 43, 0, 0, 0, 0)",26283
MODEL0568648427,3,33,33,0,0,0,0,0.029124532,1411644,0.0,"Base.GC_Diff(1411644, 1, 0, 23149, 25, 0, 0, 0, 0)",26186
MODEL1006230039,1,0,0,53,0,17,0,0.061048831,1047352,0.0,"Base.GC_Diff(1047352, 1, 0, 24659, 36, 0, 0, 0, 0)",26185
MODEL7888000034,1,0,0,70,0,37,0,0.061296607,3232537,0.0,"Base.GC_Diff(3232537, 6, 0, 75120, 55, 0, 0, 0, 0)",26164
MODEL1511170002,1,6,9,10,0,0,0,0.0136007,588228,0.0,"Base.GC_Diff(588228, 0, 0, 9869, 4, 0, 0, 0, 0)",26142
MODEL1704110003,1,16,21,21,0,0,0,0.015370354,3281520,0.0,"Base.GC_Diff(3281520, 1, 0, 50546, 28, 0, 0, 0, 0)",26052
MODEL1006230003,1,0,0,47,0,12,0,0.043287244,2952376,0.0,"Base.GC_Diff(2952376, 4, 0, 65020, 42, 0, 0, 0, 0)",25828
MODEL1006230106,1,0,0,47,0,12,0,0.04228338,5757028,0.0,"Base.GC_Diff(5757028, 5, 0, 93890, 125, 0, 0, 0, 0)",25826
BIOMD0000000642,1,4,0,18,0,3,0,0.01425157,1387514,0.0,"Base.GC_Diff(1387514, 0, 0, 22139, 23, 0, 0, 0, 0)",25823
BIOMD0000000507,1,3,4,11,0,1,0,0.012145684,1827591,0.0,"Base.GC_Diff(1827591, 0, 0, 26251, 35, 0, 0, 0, 0)",25436
MODEL1006230083,1,0,0,18,0,5,0,0.016963509,778808,0.0,"Base.GC_Diff(778808, 2, 0, 26240, 10, 0, 0, 0, 0)",25058
MODEL1202030000,1,14,24,24,0,0,0,0.02733956,1542792,0.0,"Base.GC_Diff(1542792, 1, 0, 37575, 25, 0, 0, 0, 0)",24754
BIOMD0000000493,1,3,6,23,2,0,0,0.037462943,2054296,0.0,"Base.GC_Diff(2054296, 1, 0, 31023, 29, 0, 0, 0, 0)",24656
MODEL1006230037,1,0,0,32,0,19,0,0.038945131,3252598,0.0,"Base.GC_Diff(3252598, 3, 0, 55683, 49, 0, 0, 0, 0)",24467
MODEL1511170001,1,5,8,8,0,0,0,0.012061494,2118006,0.0,"Base.GC_Diff(2118006, 0, 0, 45737, 27, 0, 0, 0, 0)",24007
MODEL1705170003,1,14,19,18,0,0,0,0.013961755,1607901,0.0,"Base.GC_Diff(1607901, 0, 0, 23429, 27, 0, 0, 0, 0)",23803
BIOMD0000000517,1,4,9,20,0,6,0,0.023164844,1144747,0.0,"Base.GC_Diff(1144747, 1, 0, 21843, 16, 0, 0, 0, 0)",23772
BIOMD0000000518,1,4,9,20,0,6,0,0.024828588,738856,0.0,"Base.GC_Diff(738856, 1, 0, 20897, 15, 0, 0, 0, 0)",23768
MODEL9811206584,1,0,0,22,0,8,0,0.022230277,625928,0.0,"Base.GC_Diff(625928, 1, 0, 18221, 15, 0, 0, 0, 0)",23767
MODEL1511170000,1,5,8,8,0,0,0,0.011199738,196952,0.0,"Base.GC_Diff(196952, 0, 0, 4198, 8, 0, 0, 0, 0)",23692
MODEL0912835813,1,0,0,46,0,16,0,0.034687176,1275283,0.0,"Base.GC_Diff(1275283, 5, 0, 28841, 36, 0, 0, 0, 0)",23518
MODEL1710260003,1,6,9,9,1,0,0,0.012295501,1057632,0.0,"Base.GC_Diff(1057632, 0, 0, 32513, 21, 0, 0, 0, 0)",23495
MODEL1208030000,1,16,10,27,0,10,0,0.014610835,221728,0.0,"Base.GC_Diff(221728, 0, 0, 4592, 7, 0, 0, 0, 0)",23485
MODEL8236520494,1,7,7,24,0,0,0,0.021884844,883808,0.0,"Base.GC_Diff(883808, 1, 0, 19053, 29, 0, 0, 0, 0)",22866
